TN,FP,FN,TP,recall,precison,accuracy
71,80,75,77,0.506578947,0.49044586,0.488448845
53,98,65,87,0.572368421,0.47027027,0.462046205
70,81,66,86,0.565789474,0.51497006,0.514851485
51,100,63,89,0.585526316,0.470899471,0.462046205
45,106,62,90,0.592105263,0.459183673,0.445544554
123,28,117,35,0.230263158,0.555555556,0.521452145
58,93,64,88,0.578947368,0.486187845,0.481848185
113,38,109,43,0.282894737,0.530864198,0.514851485
82,69,87,65,0.427631579,0.485074627,0.485148515
114,37,103,49,0.322368421,0.569767442,0.537953795
,,,,,,
,,,,,,0.48679868
